"","c_ch1","v_ch1","c_dch1","v_dch1","c_ch2","v_ch2","c_dch2","v_dch2","c_ch3","v_ch3","c_dch3","v_dch3","c_dch1.1","c_ch2.1","c_dch2.1","c_ch3.1","c_dch3.1"
"376",17.85887084,0.3043,190.6772532,0.144,148.0693926,0.1001,331.3188335,0.2397,NA,NA,NA,NA,181.7356332,172.9317035,46.8371346,NA,NA
"377",17.96833525,0.3023,191.2842831,0.1441,149.2833614,0.0997,332.2343541,0.2417,NA,NA,NA,NA,181.1286033,174.1456723,45.921614,NA,NA
"378",18.05789705,0.3006,191.891313,0.1442,150.497239,0.0994,332.3537698,0.242,NA,NA,NA,NA,180.5215734,175.3595499,45.8021983,NA,NA
"379",18.06784836,0.3003,192.4883917,0.1443,151.6913067,0.0991,332.9707511,0.2439,NA,NA,NA,NA,179.9244947,176.5536176,45.185217,NA,NA
"380",18.17731277,0.2983,193.0954216,0.1444,152.9053665,0.0987,333.5081218,0.2459,NA,NA,NA,NA,179.3174648,177.7676774,44.6478463,NA,NA
"381",18.28677719,0.2963,193.7024515,0.1446,153.0048796,0.0986,333.5678297,0.2461,NA,NA,NA,NA,178.7104349,177.8671905,44.5881384,NA,NA
"382",18.3962416,0.2943,194.3094815,0.1446,154.1194264,0.0984,333.9857847,0.248,NA,NA,NA,NA,178.1034049,178.9817373,44.1701834,NA,NA
"383",18.52560864,0.292,194.9165114,0.1447,155.3334863,0.0979,334.3639345,0.2501,NA,NA,NA,NA,177.496375,180.1957972,43.7920336,NA,NA
"384",18.64502436,0.2899,195.51359,0.1449,156.5276435,0.0976,334.6823765,0.2522,NA,NA,NA,NA,176.8992964,181.3899544,43.4735916,NA,NA
"385",18.66492698,0.2896,196.12062,0.145,157.7417034,0.0971,334.7619869,0.2527,NA,NA,NA,NA,176.2922664,182.6040143,43.3939812,NA,NA
"386",18.7743914,0.2878,196.7176986,0.1452,158.915958,0.0966,334.9809158,0.2542,NA,NA,NA,NA,175.6951878,183.7782689,43.1750523,NA,NA
"387",18.89380712,0.2857,197.3147772,0.1453,158.9557633,0.0966,335.2396498,0.2562,NA,NA,NA,NA,175.0981092,183.8180742,42.9163183,NA,NA
"388",19.02317416,0.2835,197.9218071,0.1454,160.1499205,0.0962,335.5182865,0.2583,NA,NA,NA,NA,174.4910793,185.0122314,42.6376816,NA,NA
"389",19.14258988,0.2814,198.5188858,0.1455,161.3639804,0.0957,335.7372154,0.2605,NA,NA,NA,NA,173.8940006,186.2262913,42.4187527,NA,NA
"390",19.26200561,0.2793,199.1259157,0.1456,162.5780403,0.0951,335.9561442,0.2626,NA,NA,NA,NA,173.2869707,187.4403512,42.1998239,NA,NA
"391",19.39137264,0.2772,199.7428969,0.1458,163.4736582,0.0946,336.1551704,0.2646,NA,NA,NA,NA,172.6699895,188.3359691,42.0007977,NA,NA
"392",19.53069099,0.275,199.7827022,0.1459,163.7921001,0.0945,336.334294,0.2668,NA,NA,NA,NA,172.6301842,188.654411,41.8216741,NA,NA
"393",19.65010671,0.2729,200.3399756,0.146,164.9862574,0.0939,336.5333202,0.2689,NA,NA,NA,NA,172.0729108,189.8485683,41.6226479,NA,NA
"394",19.78942506,0.2707,200.9370542,0.1461,166.2003172,0.0931,336.7124438,0.2712,NA,NA,NA,NA,171.4758322,191.0626281,41.4435243,NA,NA
"395",19.85908423,0.2696,201.5440841,0.1462,167.0760326,0.0926,336.8915674,0.2735,NA,NA,NA,NA,170.8688023,191.9383435,41.2644007,NA,NA
"396",19.90884078,0.2687,202.1511141,0.1464,167.3944745,0.0924,337.0905936,0.2759,NA,NA,NA,NA,170.2617723,192.2567854,41.0653745,NA,NA
"397",20.03820782,0.2667,202.758144,0.1465,168.5886317,0.0916,337.1702041,0.277,NA,NA,NA,NA,169.6547424,193.4509426,40.985764,NA,NA
"398",20.16757485,0.2647,203.3651739,0.1467,169.8026916,0.0906,337.2697172,0.2785,NA,NA,NA,NA,169.0477125,194.6650025,40.8862509,NA,NA
"399",20.3068932,0.2626,203.9622526,0.1469,170.9968489,0.0897,337.4687434,0.281,NA,NA,NA,NA,168.4506338,195.8591598,40.6872247,NA,NA
"400",20.43626024,0.2605,204.5692825,0.147,172.1910061,0.0887,337.6080617,0.2832,NA,NA,NA,NA,167.8436039,197.053317,40.5479064,NA,NA
"401",20.45616286,0.2603,205.1663611,0.1471,172.2308114,0.0886,337.7672827,0.2853,NA,NA,NA,NA,167.2465253,197.0931223,40.3886854,NA,NA
"402",20.57557858,0.2585,205.7634398,0.1473,173.405066,0.0875,337.906601,0.2875,NA,NA,NA,NA,166.6494466,198.2673769,40.2493671,NA,NA
"403",20.71489693,0.2565,206.3605184,0.1475,174.3603918,0.0866,338.1056272,0.2901,NA,NA,NA,NA,166.052368,199.2227027,40.0503409,NA,NA
"404",20.85421527,0.2545,206.9675483,0.1477,174.6191259,0.0864,338.2449456,0.2924,NA,NA,NA,NA,165.4453381,199.4814368,39.9110225,NA,NA
"405",20.99353362,0.2525,207.5745782,0.1477,175.8331857,0.085,338.3643613,0.2939,NA,NA,NA,NA,164.8383082,200.6954966,39.7916068,NA,NA
"406",21.06319279,0.2515,207.7736045,0.1479,176.1914329,0.0846,338.4041666,0.2947,NA,NA,NA,NA,164.6392819,201.0537438,39.7518015,NA,NA
"407",21.13285197,0.2503,208.1816082,0.1479,177.0272802,0.0837,338.5633875,0.297,NA,NA,NA,NA,164.2312782,201.8895911,39.5925806,NA,NA
"408",21.29207293,0.2481,208.7886381,0.1481,177.9825343,0.0826,338.6828033,0.2991,NA,NA,NA,NA,163.6242483,202.8448452,39.4731648,NA,NA
"409",21.43139128,0.2461,209.3857167,0.1483,178.2213658,0.0824,338.8420242,0.3015,NA,NA,NA,NA,163.0271697,203.0836767,39.3139439,NA,NA
"410",21.57070962,0.2441,209.9927467,0.1485,179.4354257,0.081,338.9813426,0.3038,NA,NA,NA,NA,162.4201397,204.2977366,39.1746255,NA,NA
"411",21.66027142,0.2429,210.5997766,0.1486,179.6543381,0.0806,339.1405635,0.3061,NA,NA,NA,NA,161.8131098,204.516649,39.0154046,NA,NA
"412",21.72993059,0.242,211.1968552,0.1488,180.6493944,0.0796,339.2798819,0.3086,NA,NA,NA,NA,161.2160312,205.5117053,38.8760862,NA,NA
"413",21.86924894,0.2398,211.8039763,0.149,181.5450124,0.0786,339.4391028,0.3111,NA,NA,NA,NA,160.6089101,206.4073233,38.7168653,NA,NA
